Row_Number,Person ID,Company ID,Company Name,Industry,Title,ICP_Codex_2,ICP_Claude_2,Manual_ICP,Manual_Reason
170,54a3bd7874686936768fe80e,54a1bc917468695c824f340c,"Wouch, Maloney & Co., LLP",Accounting,Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
175,54a2b4c47468693a7eff1e37,54a13b2169702d04868e5001,Morrissey Goodale LLC,Management Consulting,Vice President,Yes,No,Yes,Private equity investment signal
187,66fc6f41de6cae0001826d1e,54a12a3069702d979cff0802,Red Team,Management Consulting,Executive Chair And Founder,Yes,No,Yes,Explicit M&A advisory / broker signal
189,5571203a736964695d290000,5e58250ef017340001f6c6c0,"emc CPAs, LLC",Financial Services,"Partner, Value Advisory",No,Yes,No,Finance/consulting profile without explicit ICP evidence
208,66ed640262c56000019e5f32,65ea1cf936066f0421d78f06,OffDeal,Information Technology & Services,Co-founder & CEO,Yes,No,Yes,Explicit M&A advisory / broker signal
209,66f8cb0e8dcef00001624954,54a1d8f17468695860a41315,Schwartz LLC,Law Practice,Managing Partner And Founder,Yes,No,Yes,Family office signal
210,57ddc342a6da987b4d9624ab,61ec3e19111ee30001f5aec0,LifeSci Consulting,Management Consulting,Partner,No,Yes,Yes,Explicit M&A advisory / broker signal
226,54a462c07468692abf462943,54a1297e69702dc841ea5a01,"Altrius Capital Management, Inc.",Investment Management,"Founder, Chief Investment Strategist",No,Yes,No,Finance/consulting profile without explicit ICP evidence
231,66f6d2a0e2ef120001330a9c,5592104a736964186a894900,Encore Associates Inc.,Management Consulting,President And CEO,Yes,No,Yes,Private equity investment signal
244,66f567d91e25d90001a59346,5ed102b3b942a5000198b5ee,Altum Strategy Group,Management Consulting,CEO & Founder,Yes,No,Yes,Private equity investment signal
246,57ddf01ea6da987b45626eee,556993ed7369642579226000,"The Pun Group, LLP",Accounting,Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
249,66f6a35c9c737700010faea9,54a12af569702d9ebcc03802,Holmes Firm PC,Law Practice,Owner/CEO/attorney,Yes,No,Yes,Family office signal
257,57d62fe1a6da98064c50f51e,61d5b346e4c43500a41fdd44,Franchise Equity Partners,Financial Services,"Partner, Head Of Capital Markets",No,Yes,No,Finance/consulting profile without explicit ICP evidence
276,5fccbe168084be00015d2a82,5f43ce98fba8fd00018c4420,Spartan Advisory Partners,Financial Services,Senior Managing Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
278,66f7931f26ca480001311d50,5f4a0b8d1fe0980001b4bfe9,Two Miles,Accounting,CEO,Yes,No,Yes,Explicit M&A advisory / broker signal
282,66ffe19bcc3ad600015cc2c8,6359876d98e2ec00cc5504f0,DOPE CFO Certified Advisors,Financial Services,Franchise Owner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
285,66f56bf2df8d5f0001b8bcba,64120fa8e98aef00a331f482,CXO Partners,Professional Training & Coaching,Managing Partner,Yes,No,Yes,Private equity investment signal
295,66f71cb2ee739400011fd025,5f919cf174160e00dab1a61b,Zoom Business Brokers,Real Estate,"Broker Of The Office, Co-founder, President",Yes,No,Yes,Explicit M&A advisory / broker signal
298,66f404204dae22000166ecd1,5a9df2cba6da98d99778b030,US Dental Transitions,Management Consulting,CEO,Yes,No,Yes,Explicit M&A advisory / broker signal
304,6753d167f42b9a00019d5f6e,55f72f0bf3e5bb1977023576,Azora Private Solutions,Real Estate,Managing Partner,Yes,No,Yes,Private equity investment signal
308,54a3de6e7468692fa2287819,60486475ccc54f0001cee212,Turning Point Consulting,Management Consulting,Principal Consultant / Chief Financial Officer,Yes,No,Yes,Private equity investment signal
309,54a1c2db74686942d3abd20e,5e55a6fa902f1b0001faf39f,"Arroyo Energy Partners, LLC",Oil & Energy,Managing Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
311,66f9716c9901a20001b39b0e,618ceeaf4f4da000de6f2edf,Absolute Investment Advisers LLC,Financial Services,"Principal And Chief Operations Officer At Absolute Investment Advisers, Llc",No,Yes,No,Finance/consulting profile without explicit ICP evidence
317,66fc05aaa8fa130001393a81,5d09a009f65125b2bb0e78dc,DWC - The 401(k) Experts,Financial Services,Managing Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
319,54aa61bb7468692366691b03,5da38406ba58a30001182027,Paladin,Financial Services,Managing Partner,No,Yes,Yes,Explicit M&A advisory / broker signal
320,66fa994bbd0c94000151ec65,5569697673696425490a2200,sharevault,Information Technology & Services,"Co-founder, Chief Product Officer, Board Member",Yes,No,Yes,Private equity investment signal
325,66f2ea8cc0e01300015a0708,65cab90e3933d801c7a5551e,Lion Creek Real Estate Capital,Real Estate,Experienced Senior-level Executive (CEO/COO) With A Demonstrated History,Yes,No,Yes,Private equity investment signal
329,60376812a2ef570001acc8ee,54a11c4369702d9a8bdf9a00,Lemery Greisler LLC,Law Practice,Partner,Yes,No,No,Legal firm (outside target ICP categories)
334,66f4e5fe1a770c000184bb0e,6358a93deed152000175c6f2,SD Business Advisors,Management Consulting,Co-founder / Managing Broker,Yes,No,Yes,Explicit M&A advisory / broker signal
357,66f7613eca0e5f00018598c0,55f8ae43f3e5bb194500146d,"Acresis, LLC",Management Consulting,Founding Partner,Yes,No,Yes,Private equity investment signal
360,54c19ecd7468697af7033b2c,60f64dae0567030001fb19f0,"Arnovia, LLC",Management Consulting,Partner,Yes,No,Yes,Private equity investment signal
376,5dcb52d9ea29ee0001a4182d,54a23d8c74686930c266e718,"Shalik, Morris & Company, LLP",Accounting,Senior Partner,Yes,No,Yes,Family office signal
378,611cf6856a4811000175f3bf,54a134d169702d2db4c4c600,Macabacus Inc.,Information Technology & Services,"Executive Vice President, Chief Product Officer",Yes,No,Yes,Private equity investment signal
379,686a38b514dc810001ff9910,54a11f3969702d88c458b201,Jacko Law Group,Legal Services,Chief Executive Officer,Yes,No,Yes,Family office signal
381,54a5341574686936761e1f85,5fca1e402a1c58000142c118,"Nations Capital, LLC",Investment Management,"Co-founder, Evp",No,Yes,No,Finance/consulting profile without explicit ICP evidence
384,6019540d11a2190001a984b5,54a1358c69702d46f0eda200,Floyd Advisory LLC,Management Consulting,Partner,Yes,No,Yes,Private equity investment signal
391,66fc89ad97fbc30001b6c32b,54a1204369702d8ed40d2102,Washington CORE,Research,President & CEO,Yes,No,Yes,Explicit M&A advisory / broker signal
398,66f451a9638ccc000156ad32,56dd7c50f3e5bb1ad90051e1,Value Driven Solutions,Management Consulting,Partner,Yes,No,Yes,Private equity investment signal
400,66f97273d8bbea0001260bde,54a2721774686930c2028923,Across Oceans Group,Management Consulting,Founder,Yes,No,Yes,Corporate buyer / corp dev acquisition signal
403,570b84f3f3e5bb3a864cd033,54a1343069702d2db4006b00,Silver Ridge Advisors (SRA),Management Consulting,Managing Partner & Founder,Yes,No,Yes,Private equity investment signal
410,66f68f441adccc00012db02e,556ceb1a7369641261045500,TA Group Holdings,Management Consulting,Partner,Yes,No,Yes,Private equity investment signal
423,60b2a2e279a2ff00013afe98,56dae422f3e5bb3121000b01,Baretz+Brunelle,Management Consulting,Partner,Yes,No,Yes,Private equity investment signal
427,66f4496012e1ee0001a1fab1,56dae858f3e5bb2ed4000947,Eastward Partners Inc.,Staffing & Recruiting,Founder & CEO,Yes,No,Yes,Private equity investment signal
445,597fb85f9d7968349a3acd50,603cb86c03ff67011ce0fbb1,Braidwell,Financial Services,Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
449,54a41eb97468693676de122e,54a1ce0c7468694f8f6d7312,Fenimore Kay Harrison LLP,Legal Services,Partner,Yes,No,No,Legal firm (outside target ICP categories)
453,61151e525982ff000159d69e,5569b84873696425b8e38300,Preferred CFO,Financial Services,Managing Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
492,6546354486171c0001d1bf8e,5da38406ba58a30001182027,Paladin,Financial Services,Partner,No,Yes,Yes,Explicit M&A advisory / broker signal
494,66f2650166419d000113f966,54a134d169702d2db4c4c600,Macabacus Inc.,Information Technology & Services,Chief Executive Officer,Yes,No,Yes,Private equity investment signal
498,63ce6cb84b7394000136d631,5da2de832c81690001c8f9b3,Triavo Health,Hospital & Health Care,Partner - Marketing And Data Analytics,Yes,No,Yes,Private equity investment signal
511,66f51a829138d1000153c112,5b151360a6da98712ec2442c,A La Carte Solutions - ALC,Accounting,Founder & CEO,Yes,No,Yes,Explicit M&A advisory / broker signal
517,6002135aa914a00001c9e456,54a198357468695860962e00,"Ardmore Banking Advisors, Inc.",Financial Services,"Evp, CAO, Partner",No,Yes,No,Finance/consulting profile without explicit ICP evidence
519,66f64e70fec61800016a5522,54a11b1f69702da10fa91500,MBS Advisors,Plastics,President,Yes,No,Yes,Private equity investment signal
520,54a382b27468693b8c66e900,556993ed7369642579226000,"The Pun Group, LLP",Accounting,Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
530,6716d04189b98f0001d17336,5b847abbf874f71c52ccabab,"Fletcher Spaght, Inc.",Management Consulting,Managing Partner Emeritus,Yes,No,Yes,Private equity investment signal
535,66ffe22acc3ad600015cf9e4,6359876d98e2ec00cc5504f0,DOPE CFO Certified Advisors,Financial Services,Franchise Owner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
545,54a7229c74686975f80aba18,54a1ce0c7468694f8f6d7312,Fenimore Kay Harrison LLP,Legal Services,Partner,Yes,No,No,Legal firm (outside target ICP categories)
551,6779e98d2c53630001bfedad,55f72f0bf3e5bb1977023576,Azora Private Solutions,Real Estate,Managing Partner,Yes,No,Yes,Private equity investment signal
554,54a997257468692d1c45d314,5e57361bb0bc1c00011496f3,Jupiter Capital Management LLC,Management Consulting,"Senior Vice President, Senior Business Consultant",Yes,No,Yes,Family office signal
574,65d976aa80584d000128224b,5a9ede67a6da98d94d927a49,Emerald Strategy Partners,Management Consulting,Operating Partner,Yes,No,Yes,Private equity investment signal
593,54a2d306746869331862403f,5d36ecf7f651258afaa63d6e,"Constantin Associates, LLP",Financial Services,Owner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
616,66f9ad311c88bb0001ab750b,54a1221169702d84c580f002,qodeo,Information Technology & Services,CEO & Director,Yes,No,Yes,Private equity investment signal
631,60fa7864201aec0001548aa4,5b840842324d440fce721fba,"ArcVera Renewables, a Bureau Veritas company",Renewables & Environment,President And Principal Engineer,Yes,No,Yes,Explicit M&A advisory / broker signal
634,54a5b46b74686936766d33a1,54a12a2569702d93136e0802,Boxley Group,Management Consulting,Partner,Yes,No,Yes,Private equity investment signal
638,54a75a0f74686968297f932c,6129a8335178060001fe3aaf,Advisor Seekers,Financial Services,Co - Founder & President ,No,Yes,No,Finance/consulting profile without explicit ICP evidence
642,60922676a9cba700010b639b,5500b0027369642dbaf90900,Bridge Business & Property Brokers,Commercial Real Estate,Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
657,66a5d40de70c62000191727b,54a1b77674686949e7a1a90a,Performance Improvement Partners (PIP),Information Technology & Services,Chief Executive Officer,Yes,No,Yes,Private equity investment signal
667,66f6e14674c57a00015e0f42,54a11f5d69702d88c484bf01,Evolve Partners,Staffing & Recruiting,Cx Strategy & Execution / Founding Partner,Yes,No,Yes,Private equity investment signal
669,5b62d7bef874f73e1d2942c5,61ed62f32f3ba000010a1bf2,"Evolved, LLC",Accounting,Partner,Yes,No,Yes,Family office signal
681,55714caf73696458a4c95400,54a23d8c74686930c266e718,"Shalik, Morris & Company, LLP",Accounting,Partner,Yes,No,Yes,Family office signal
683,5abecb1aa6da98ce7eaa992e,5d35da4ba3ae61b86d4d51d1,Sica Fletcher LLC,Insurance,Managing Partner,Yes,No,Yes,Private equity investment signal
686,6603bc5f72044e0007e020dd,54a13a3469702dac84aaa700,Littman Krooks LLP,Law Practice,Partner,Yes,No,Yes,Family office signal
688,54a443e77468693676ddbf39,5fc891032cfd4300010a0345,"IP Capital Partners, LLC",Real Estate,Co-founder And Chief Investment Officer,Yes,No,Yes,Private equity investment signal
701,67278b83200c8e0001a74611,64120fa8e98aef00a331f482,CXO Partners,Professional Training & Coaching,"Partner, Executive Operations",Yes,No,Yes,Private equity investment signal
713,67f395aa0ea45600014749b6,54a1bc917468695c824f340c,"Wouch, Maloney & Co., LLP",Accounting,Managing Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
729,66f8d4a31cc13a0001ff9c06,54a11c9b69702d9d7e96bd00,"Nations Financial Group, Inc",Financial Services,CEO President,No,Yes,No,Finance/consulting profile without explicit ICP evidence
730,66faf85202cfe100014e0545,5500c9cd736964174cc06300,MLA Companies,Financial Services,Chief Executive Officer,No,Yes,Yes,Explicit M&A advisory / broker signal
753,60014b3aaea85900019c83a7,63ba271be116660001406739,C-Level Advisory,Management Consulting,Founder And CEO,Yes,No,Yes,Private equity investment signal
755,644a52e33ab4a300015fba93,54a2440e7468693a7e49421b,FLG Partners,Management Consulting,Partner,Yes,No,Yes,Private equity investment signal
759,6513e6728c9cfd0001cd2f4a,55922fc0736964185fabbb00,OSIsearch,Management Consulting,President,Yes,No,Yes,Private equity investment signal
765,6784424047ab8900016264dd,54a12ad569702d8cfc517502,"Whitney Partners, LLC",Staffing & Recruiting,"CEO, Co-founder",Yes,No,Yes,Private equity investment signal
767,54a40d4c74686938acfed028,556d7d02736964121f8f2601,East 57th Street Partners,Management Consulting,Managing Partner,Yes,No,Yes,Family office signal
768,66faa11d34ff8c0001a612c7,56d5f6b7f3e5bb35c900040f,Strauss Malk & Feder LLP,Law Practice,Partner And Estate Planning/tax Attorney,Yes,No,No,Legal firm (outside target ICP categories)
775,62ec7fe512d03b0001fbc577,55ea50ccf3e5bb5910000f16,CSuite Financial Partners,Management Consulting,Partner,Yes,No,Yes,Family office signal
779,66f10d6ffb0bc20001505997,5f47bbda51ca0900c7a6615f,Rebalance Capital,Financial Services,Managing Partner And Founder,No,Yes,No,Finance/consulting profile without explicit ICP evidence
781,54a39fab746869320945ab05,5b1599d1a6da987143b081df,Victory Six Advisors,Defense & Space,Managing Partner,Yes,No,Yes,Family office signal
787,6510771ef4af83000111d4e2,54a1358c69702d46f0eda200,Floyd Advisory LLC,Management Consulting,Partner,Yes,No,Yes,Private equity investment signal
789,54a2aba974686935be3a1b34,54a11af869702da425990500,Altimeter,Financial Services,Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
791,5d1711a480f93e164a989adb,5b847abbf874f71c52ccabab,"Fletcher Spaght, Inc.",Management Consulting,Partner & CFO,Yes,No,Yes,Private equity investment signal
813,54a740c3746869730acd4823,54a12ad069702dcef9434802,My Equity Comp,Financial Services,Managing Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
826,60d2345ef98db00001f12c0e,57c4ca29a6da98370bca15db,KM Partners,Staffing & Recruiting,Partner,Yes,No,Yes,Private equity investment signal
832,54aaaa887468690377674811,54a1351469702d48e2085d00,Rankin McKenzie,Financial Services,Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
835,6846cfed2591f800011fe92c,54a139ab69702d231fe98c00,Rosenberg Associates,Management Consulting,Managing Partner,Yes,No,Yes,Private equity investment signal
842,67958761c989fa00012b05dd,54a13b4d69702de5b3e46801,Sabella & Marshall CPA's,Accounting,Partner,Yes,No,Yes,Family office signal
843,66f8af2c1fb6a70001058956,54a11f5d69702d88c484bf01,Evolve Partners,Staffing & Recruiting,Founder And Partner,Yes,No,Yes,Private equity investment signal
847,60388faa3b17970001459d6f,54a134d469702d2f9f84b100,"WorldBusiness Capital, Inc.",Financial Services,"Chairman, President And Chief Executive Officer",No,Yes,No,Finance/consulting profile without explicit ICP evidence
862,66fa8c94f288490001a57646,5f49a74ad2ebba0001379d1e,SimplyPut Consulting,Management Consulting,"Co-founder, Senior Partner",Yes,No,Yes,Private equity investment signal
875,66fe0a2da00d8e000109282f,54a1352969702d333dacb100,SL FINANCIAL,Financial Services,CEO,No,Yes,No,Finance/consulting profile without explicit ICP evidence
876,671218bee9f8160001bfba82,54a1b77674686949e7a1a90a,Performance Improvement Partners (PIP),Information Technology & Services,Founder / Owner,Yes,No,Yes,Private equity investment signal
879,688de7eb369a1f0001aba4ce,55922d4473696417395c5300,"Pray Walker, P.C.",Law Practice,Managing Partner,Yes,No,Yes,Family office signal
882,67909876f487e700018bf801,56e60939f3e5bb6b7a004849,STNL Advisors,Real Estate,Vice President-retail Real Estate,Yes,No,Yes,Explicit M&A advisory / broker signal
898,66fbd012a45eb00001cba85b,54a12a4d69702d9548dbf801,Highspring (Formerly Focus Search Partners),Staffing & Recruiting,Managing Partner | Industrial Retained Search,Yes,No,Yes,Private equity investment signal
904,66f7de44ae47ef0001664a37,54a11cf769702d84c58bd700,"Perlman, Bajandas, Yevoli & Albright, P.L.",Law Practice,Partner,Yes,No,Yes,Family office signal
924,54a5ce887468693b8c5a53aa,54a1afed7468694012bc1608,The PeterSan Group and PeterSan Legal Staffing,Staffing & Recruiting,Managing Partner/legal Recruiter,Yes,No,Yes,Explicit M&A advisory / broker signal
929,611d8bb79b0a73000149fe5e,55ea50ccf3e5bb5910000f16,CSuite Financial Partners,Management Consulting,Part-time Chief Financial Officer | Netsuite Erp Consultant | Partner,Yes,No,Yes,Family office signal
935,66fd9a906bbe610001b40ff6,5d330a68a3ae61189e238ffd,"Hoffman & Associates, LLC",Legal Services,CEO And Managing Partner,Yes,No,Yes,Family office signal
939,5f0fd114998fa40001e11e11,5da38406ba58a30001182027,Paladin,Financial Services,Partner,No,Yes,Yes,Explicit M&A advisory / broker signal
941,62429af9d793ec0001d27987,5e56cf0a37e7ff0001895a05,Moore North America,Accounting,Head Of Programs And Partnerships,Yes,No,Yes,Family office signal
943,54a4bf007468693209cee55f,54a13a3469702dac84aaa700,Littman Krooks LLP,Law Practice,Partner,Yes,No,Yes,Family office signal
944,6270fb5fa1ac3d0001127c03,5e5735dd91af090001a0b20e,CORE IR & PR,Public Relations & Communications,"Senior Managing Director, Head Of Corporate Access",Yes,No,Yes,Explicit M&A advisory / broker signal
962,57d3d20fa6da98537a3a8375,5e57eaea0f6c510001766fc6,"Luse Gorman, PC",Law Practice,Partner,Yes,No,No,Legal firm (outside target ICP categories)
965,66f7f86ca8551a00012d383e,6557bf955de3b100a37dcd91,Crew Finance,Accounting,Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
967,60f00c416a18c70001179bd0,54a11e6a69702d94a4094b01,Technology Commercialization Group (TCG),Management Consulting,Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
970,6868d2a04c1ab30001d63cc3,5c1fc7c780f93ecd9d63be51,Norton Consulting,Management Consulting,Founder And CEO,Yes,No,No,Acquisition wording present but mandate unclear
982,54a419f07468693676f7922c,54a12a4d69702d9548dbf801,Highspring (Formerly Focus Search Partners),Staffing & Recruiting,Managing Partner,Yes,No,Yes,Private equity investment signal
994,54a2d3507468692e7137ee3f,54a11c3969702d8aa10b8000,"Cogent Growth Partners, LLC",Information Technology & Services,Evp & Sr. Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
998,604c73943ca370000147adf5,5fcaea603d3446000134bfbc,PPHC,Government Relations,Chief Executive Officer,Yes,No,Yes,Explicit M&A advisory / broker signal
1007,66f561b0ebe4910001be56c3,54a11f5d69702d88c484bf01,Evolve Partners,Staffing & Recruiting,President & Founder,Yes,No,Yes,Private equity investment signal
1009,66f30fedf8fb240001230fb4,5ed56cdbc2dff400012928d4,Capital Department,Management Consulting,Founder & CEO,Yes,No,Yes,Private equity investment signal
1010,66ff7123607297000166ae5b,5d0a7fe8f65125764c78ccd2,Teraverde,Financial Services,Co-founder & Chief Executive Officer,No,Yes,No,Finance/consulting profile without explicit ICP evidence
1021,681843f18c8d4600011fc39b,64120fa8e98aef00a331f482,CXO Partners,Professional Training & Coaching,Operating Partner,Yes,No,Yes,Private equity investment signal
1028,66f8e4168dcef0000167b9f2,54a2213874686930c2e52e0f,Libertas Group,Staffing & Recruiting,Managing Partner & Co-founder,Yes,No,Yes,Private equity investment signal
1029,66f154094445da000120ff8e,54a1ba6b74686945fa73a20b,Schwartz Advisors,Management Consulting,CEO And Managing Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
1033,66fe899c2b33520001ac00d7,56d5f6b7f3e5bb35c900040f,Strauss Malk & Feder LLP,Law Practice,Partner,Yes,No,No,Legal firm (outside target ICP categories)
1034,57d56653a6da9853de007b16,6049b96cdf92dc0001a81978,Upland Workshop,Public Relations & Communications,"Vice President, Corporate Strategy",Yes,No,Yes,Explicit M&A advisory / broker signal
1036,66f65198fec61800016b1c4a,54a11b1f69702da10fa91500,MBS Advisors,Plastics,Partner,Yes,No,Yes,Private equity investment signal
1042,54a5232d7468692cf0f00780,54a12ad569702d8cfc517502,"Whitney Partners, LLC",Staffing & Recruiting,Managing Director & COO,Yes,No,Yes,Private equity investment signal
1046,54a23aa67468693fdaecdc17,55f52d79f3e5bb6eb30019d3,Partis,Management Consulting,Managing Partner,Yes,No,Yes,Private equity investment signal
1056,6809fafe4347b3000190af6e,54a12af569702dcef9825e02,"HBSC Strategic Services, Inc.",Management Consulting,President And CEO,Yes,No,Yes,Explicit M&A advisory / broker signal
1061,66ed04713158ef000101e03a,54a1a80a7468694f8f384705,Partners for Growth,Financial Services,Managing Director And CEO,No,Yes,No,Finance/consulting profile without explicit ICP evidence
1075,67c86ba101c4f000018fbf8a,54a1b66374686942d3d14a0a,Global Accounting Network,Staffing & Recruiting,Vice President,Yes,No,Yes,Private equity investment signal
1077,60bce4543855910001bb2721,54a11c3969702d8aa10b8000,"Cogent Growth Partners, LLC",Information Technology & Services,Evp And Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
1082,66f22bd03d93ef0001ea07ba,57c49633a6da9832bd052f5b,"Transworld NorthStar (Offices in MN, IA, and WI)",Real Estate,CEO/owner,Yes,No,Yes,Explicit M&A advisory / broker signal
1088,54a604fe7468692cf0b75fbb,62626145cf955e00f59139d4,Seidler Equity Partners,Investment Management,Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
1091,66fd158445b36400010e9ffe,60495aec9c0342000191c979,Ascension Search Partners,Staffing & Recruiting,Founding Partner,Yes,No,Yes,Family office signal
1093,57e17e7da6da987d7c3449ee,56dae422f3e5bb3121000b01,Baretz+Brunelle,Management Consulting,Partner,Yes,No,Yes,Private equity investment signal
1110,66fd4e34dd3bf20001848682,601b402e91c95b00a4c502b9,D.LUXURY BRANDS,Marketing & Advertising,Co-CEO & Founder,Yes,No,Yes,Private equity investment signal
1111,680b23430886c400016bf45f,54a2440e7468693a7e49421b,FLG Partners,Management Consulting,Partner | Flg Client Interim CFO,Yes,No,Yes,Private equity investment signal
1113,63d53615c92eb800011c0177,54a11af869702da425990500,Altimeter,Financial Services,Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
1115,5d562eabf3e5bb8cce298289,5db12a02d890840001739e93,Fundamental Income,Real Estate,"Co-founder, Partner & Chief Investment Officer",No,Yes,No,Non-target industry
1130,5d0b181ba67c9e095a1249c9,54a12ad069702db878d00802,Reddal,Management Consulting,CEO,Yes,No,No,Finance/consulting profile without explicit ICP evidence
1135,5f4b621d9e278d00017a4587,5569a4fa73696425e2ac6f00,AEC Partners,Management Consulting,Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
1137,54a402147468692abf2e5f24,6134240d429a2e00016055f8,Longacre Square Partners,Public Relations & Communications,Partner,Yes,No,Yes,Private equity investment signal
1139,66f7d93ef3aaa20001082cd3,57c4ca29a6da98370bca15db,KM Partners,Staffing & Recruiting,"Partner | Executive Search, Professional Recruitment & Advisory Consultant",Yes,No,Yes,Private equity investment signal
