Company Name,Industry,pair_counts,reason_top,headline,desc,kw
Paladin,Financial Services,{'Maybe->Yes': 6},Financial firm with investment signals (financial services),Partner At Paladin ,"Paladin is a middle-market advisory firm driving value creation through financial and operational consulting services. Our team of expert consultants, from a range of disciplines, unites with our clients to deliver tailored solutions that yield tangible and la","restructuring, transaction advisory, performance improvement, strategic communications, portfolio services, financial consulting, operational consulting, middle-market advisory, value creation, crisis"
Paradise Capital,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),CEO,,"business exit strategies, exit planning, business valuation, mergers & acquisitions, emotional readiness for selling, financial readiness for selling, business growth strategies, no regrets exit, tran"
Partners for Growth,Financial Services,{'Maybe->Yes': 3},Financial firm with investment signals (financial services),Managing Director And CEO,"Partners for Growth specializes in tailored debt solutions for entrepreneurs driving global growth in tech and innovation. With a history spanning almost four decades, we've collaborated with over 230 companies from more than 20 countries in tech-centric secto","specialty lending, custom debt solutions, venture debt, growth capital, growth debt, asset backed lending, asset backed financing, asset-backed financing, capital sourcing, entrepreneurial partnership"
Rebalance Capital,Financial Services,{'Yes->No': 2},Private Equity,Founder And Managing Partner Of Rebalance Capital,"Rebalance Capital is venture capital firm dedicated to propelling upward economic mobility for low and middle income communities. We invest in Series A and B FinTech and WorkforceTech companies, and pride ourselves on the trust we've earned as an innovation sc","alternative investments & venture capital, fintech, workforcetech, investment, b2b marketplaces, b2b2c distribution, upward mobility, financial security, career success, human capital, corporate finan"
Ridgemar Energy,Oil & Energy,{'No->Yes': 1},Does not match ICP (oil & energy),CEO At Ridgemar Energy,,"oil & gas, upstream investment, asset development, operational efficiency, eagle ford, technical evaluations, reservoir engineering, capital raising, m&a advisory, business development, land managemen"
Rio Grande E&P,Oil & Energy,{'Maybe->Yes': 1},Non-standard with investment signals (oil & energy),Chief Operating Officer / VP Operations,"Rio Grande E&P is a privately held company engaged in the acquisition, exploration, and development of natural gas assets in South Texas. Rio Grande E&P I founded in 2017 by Glenn Hart (formerly CEO of Michael Petroleum Corporation and Laredo Energy) and now R","natural gas, oil production, hydrocarbon liquids, energy exploration, eagle ford shale, well drilling, reservoir engineering, field development, geology, lease acquisition, resource play, production o"
RiverGlade Capital,Financial Services,{'Yes->No': 7},Private Equity,Managing Partner,"RiverGlade Capital is a private equity firm focused on control buyouts of growth-oriented, lower middle market healthcare companies. Through partnership with founder-owned, high-quality, differentiated businesses, RiverGlade strives to accelerate value, profes","private equity & healthcare, healthcare investment, private equity, lower middle market, value creation, collaborative partnerships, entrepreneurial culture, operational guidance, healthcare managemen"
Sandlot Partners,Financial Services,{'Maybe->Yes': 2},Financial firm with investment signals (financial services),Partner I Investor I Father I Husband I D1 Athlete Air Force Academy Basketball I Byu Cheerleader Dad I My Kids Coach,"Sandlot provides founders & sponsors with capital, guidance, and partial liquidity to maximize investments in PE, real estate, and oil & gas.","growth capital, strategic guidance, partial liquidity, investments, private equity, real estate, oil & gas, business growth, revenue growth, investment management, portfolio management, deal sourcing,"
Secure Net Lease,Real Estate,{'Maybe->Yes': 3},Real estate with investment signals,Managing Partner,"Secure Net Lease is a nationally recognized brokerage firm with offices in Dallas, TX and Los Angeles, CA that specializes in the buying and selling of net lease real estate throughout the United States.","net leased investment brokerage, saleleasebacks, retailer services, leasing non-residential real estate, investment sales, net lease properties, single tenant retail, sale-leaseback, tenant services, "
Stella Point Capital,Investment Management,{'Yes->No': 1},Private Equity,Partner,"Based in New York City, Stella Point Capital is a private equity firm that enables well-positioned businesses to access transformational growth opportunities. Our value extends beyond funding by providing owners and management teams with senior counsel, operat","private equity, human capital, business partnerships, financial growth, company culture, talent development, middle market investment, strategic growth, capital investment, operations support, advisor"
Strategic Wealth Partners,Investment Management,{'Yes->No': 1},Family Office,CEO,"Strategic Wealth Partners is a provider of wealth management, financial planning and business transition advisory services.","investment management, wealth management, financial planning, exit planning, tax planning, business valuation, retirement planning, corporate retirement plan management, insurance planning, financial "
Succession Resource Group,Financial Services,{'Maybe->Yes': 2},Financial firm with investment signals (financial services),Executive Vice President At Succession Resource Group & Lendingwell,"Succession Resource Group is a boutique succession planning consulting firm dedicated to helping financial advisors and other small business owners value, grow, protect, and plan for the transition of their business. We provide the most accurate and comprehens","succession planning, death, disability, advisor valuation, acquisition support, continuity planning, retained seller search, retained buyer search, advisor workshops, seller side representation, buy s"
The New Amsterdam Group LLC,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Managing Partner At The New Amsterdam Group Llc,"In the past decade, the principals at The New Amsterdam Group LLC have been actively engaged in fund placement for funds across the alternative assets management spectrum. The New Amsterdam Group LLC provides investment managers and corporates with tailored se","placement agent, private equity, venture capital, institutional investors, capital raising, fund placement, public markets, asset optimization, real assets, capital commitments, investment strategies,"
Uniqum Capital,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),CEO At Monsoon Capital,"Uniqum Capital - Lietuvos Banko licencijuota C kategorijos finansų maklerio įmonė.

Konsultuojame strateginio investavimo bei alternatyvaus kapitalo pritraukimo srityse. Kapitalo ieškome Baltijos šalių įmonėms, kurias pristatome instituciniams ir privatiems in","investment consulting, alternative financing, capital attraction, institutional investors, privately held companies, baltic market, portfolio management, investment projects, financial technology, inv"
Upwelling Capital Group,Financial Services,{'Maybe->Yes': 3},Financial firm with investment signals (financial services),Founder Of Upwelling Capital Group Llc,"Upwelling Capital Group is an advisory and investment management firm that provides customized strategies and solutions to enhance the overall returns for premier alternative investors.

With experience successfully managing over $50 billion in global private ","private equity, legacy portfolio solutions, sustainable asset management, strategy consulting, venture capital, private debt, coinvestments, secondaries, custom solutions, liquidity solutions, private"
Valiant Capital,Financial Services,{'Maybe->Yes': 4},Financial firm with investment signals (financial services),CEO At Valiant Capital,"Valiant Capital is a leading capital advisory and lending firm, empowering businesses nationwide with a strategic focus on the vibrant Texas market. Our mission is to deliver bespoke capital solutions that propel our clients to unparalleled success. We pride o","business consulting, forecasting, lending, capital advisory, tax credit, consulting, usda, smbs, corporate financial analysis, credit, real estate, private credit, small business lending, loans, cfo, "
Varsity Healthcare Partners,Investment Management,{'Yes->No': 9},Private Equity,Operating Partner,"Varsity Healthcare Partners builds leading healthcare services companies, employing a differentiated partnership model. Our approach is predicated on a commitment to unconditional alignment and transparency with all stakeholders – founders, management teams, e","healthcare private investment, private equity, healthcare investment, lower middle-market, multi-site healthcare, outsourced services, growth equity, buyout, recapitalization, investment strategy, ope"
"Velocity Capital, LLC",Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Chief Executive Officer,"In today's high-speed trading world, demand for services that are point-and-click has become a must for serious traders. Velocity Capital, LLC has the contacts and technology to give your trading business a decisive advantage.

Through our OMS integrated locat","investment, capital management, asset allocation, portfolio strategy, risk assessment, market analysis, private equity, venture capital, fund management, investment strategies, business development, f"
Vesey Street Capital Partners,Investment Management,{'Yes->No': 9},Private Equity,Investment Partner At Vesey Street Capital Partners,"Private Equity Partner of Choice for Lower Middle-Market Healthcare Services Companies

Vesey Street Capital Partners (VSCP) is a New York City-based private equity firm specializing in buyouts of lower middle-market healthcare services businesses. Established","healthcare services, private equity, healthcare, lowermiddle market, buyouts, lower middle-market, investment, asset management, family offices, pension funds, institutional investors, healthcare expe"
Vision Capital,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Managing Partner - Vision Capital,"Vision Capital is an international investor with an innovative approach to private equity.

Vision Capital was founded in 1997 and pioneered direct secondaries in Europe. Today it has €1.8 billion assets under management with offices in London and New York.

W","private equity, middlemarket, buyout, technology, financial services, fin tech, finance, investment, portfolio acquisitions, international investment, sustainable value, stakeholders, investment strat"
"WorldBusiness Capital, Inc.",Financial Services,{'Maybe->Yes': 3},Financial firm with investment signals (financial services),"President, Worldbusiness Capital, Inc.","WorldBusiness Capital, Inc. (WBC) is a regulated commercial finance company and direct lender that offers long-term loans helping middle market businesses, investment funds, and financial institutions capitalize on global growth opportunities. WBC's long-term ","loans for mexican operations of us companies, loans for european investments in north america, loans for canadian investments in mexico, loans for financial institutions in the americas, loans for foo"
🏦 FM Enterprises,Investment Management,{'Maybe->No': 1},Investment management - potential investor,🚀 Strategic Buyer | M&a & Business Growth Architect | Acquiring & Scaling Businesses To $1b+ | 100x Roi Strategy For Founders & Investors | Life Is An Adventure...keep Driving!,"FM Enterprise, a dynamic strategic consulting firm, is dedicated to transforming the business landscape for investors, entrepreneurs, and private equity (PE) firms. We excel in driving revenue growth through cutting-edge sales and marketing strategies, establi","investment, sales, lending, acquisition, online business, real estate, b2b, marketing, recruiting, holding companies, digital marketing consulting, business strategy, marketing services, seo, sem, soc"
