Row_Number,Person ID,Company ID,Company Name,Industry,Title,ICP_Codex,ICP_Claude,Binary_ICP,Binary_Reason
174,57e1bbaaa6da98572faf32a0,57c4be21a6da98368af514da,Law Offices of OMP,Legal Services,Partner,No,Maybe,No,non-target industry
175,54a2b4c47468693a7eff1e37,54a13b2169702d04868e5001,Morrissey Goodale LLC,Management Consulting,Vice President,Yes,Maybe,Yes,explicit icp terminology
181,66f5ca1ef20fb00001253361,5a9f4347a6da98d97700bef8,Gutnicki LLP,Law Practice,Partner,No,Maybe,No,professional services without clear sourcing mandate
187,66fc6f41de6cae0001826d1e,54a12a3069702d979cff0802,Red Team,Management Consulting,Executive Chair And Founder,Yes,No,Yes,explicit icp terminology
189,5571203a736964695d290000,5e58250ef017340001f6c6c0,"emc CPAs, LLC",Financial Services,"Partner, Value Advisory",Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
190,5f0c38f709443400014e52e5,5b835f9e324d4469e4f36af6,Grobstein Teeple LLP,Accounting,Partner,Maybe,No,No,non-target industry
191,54a8df457468692d1cb59a07,5592172973696418ae276100,Kittell Branagan & Sargent,Accounting,Managing Partner,Maybe,No,No,non-target industry
201,60136b8da3b152000131cdb9,5e55dc7071bea9000159b861,"Blitzer, Clancy & Company",Management Consulting,Partner,Yes,Maybe,Yes,explicit icp terminology
206,66f4755a51c6b3000109fdae,54a135f469702d4b2eefc200,Brandtrust,Market Research,Founder & Chairman,Maybe,No,No,insufficient direct icp evidence for strict yes/no
208,66ed640262c56000019e5f32,65ea1cf936066f0421d78f06,OffDeal,Information Technology & Services,Co-founder & CEO,Yes,No,Yes,explicit icp terminology
209,66f8cb0e8dcef00001624954,54a1d8f17468695860a41315,Schwartz LLC,Law Practice,Managing Partner And Founder,Yes,Maybe,Yes,explicit icp terminology
215,54a20e28746869331884af08,54a1a8587468694012915b05,Thompson LLP,Legal Services,Partner,No,Maybe,No,non-target industry
221,66f6df5c192efd00012e96da,5dea19a1629b8300fec9bfa0,"Charles River CFO, Inc.",Accounting,Founder And President,Maybe,No,No,non-target industry
226,54a462c07468692abf462943,54a1297e69702dc841ea5a01,"Altrius Capital Management, Inc.",Investment Management,"Founder, Chief Investment Strategist",Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
231,66f6d2a0e2ef120001330a9c,5592104a736964186a894900,Encore Associates Inc.,Management Consulting,President And CEO,Yes,Maybe,Yes,explicit icp terminology
234,5ac2b151a6da98e715174593,54a138ca69702d231f671b00,Berkeley Capital Advisors,Commercial Real Estate,Founding Partner,No,Maybe,No,non-target industry
235,54a2e30674686935be493b44,54a138b269702d231f490b00,"MMQ & Associates, P.C.",Accounting,Partner,Maybe,No,No,non-target industry
238,58bf9b01f651257f8b5b47de,5b83a43c324d44053ccabd0e,Kieckhafer Schiffer LLP,Accounting,Partner,Maybe,No,No,non-target industry
239,57e0864fa6da981bfd019074,55ea50eef3e5bb598f0010c3,Schmersahl Treloar & Co,Accounting,Partner,Maybe,No,No,non-target industry
243,62c84c5a97944400018efce5,54a1bd377468695c8257720c,Kastner Gravelle LLP,Law Practice,Partner,No,Maybe,No,professional services without clear sourcing mandate
244,66f567d91e25d90001a59346,5ed102b3b942a5000198b5ee,Altum Strategy Group,Management Consulting,CEO & Founder,Yes,No,Yes,explicit icp terminology
246,57ddf01ea6da987b45626eee,556993ed7369642579226000,"The Pun Group, LLP",Accounting,Partner,Maybe,No,Yes,explicit icp terminology
247,54a8a1d774686930ade73e02,5b84592e324d445fe4827410,"AJ Santye & Co., PA",Accounting,Partner,Maybe,No,No,non-target industry
249,66f6a35c9c737700010faea9,54a12af569702d9ebcc03802,Holmes Firm PC,Law Practice,Owner/CEO/attorney,Yes,Maybe,No,professional services without clear sourcing mandate
252,66fcb92e75743d0001967cc0,5e5783f30d0848000139027f,Dailey LLP,Law Practice,Partner,No,Maybe,No,non-target industry
255,6518810841ca2e0001c568e3,5e5592cae4651c0001bfa1a7,Galleros Robinson,Accounting,Partner,Maybe,No,No,non-target industry
258,54a5af407468693676232da0,54a1359569702d4b2ecaa300,"Payne, Nickles & Company",Accounting,Partner,Maybe,No,No,non-target industry
261,54a2384374686935be6cf816,54a12a4a69702d90a2cd2c02,Berlandi Nussbaum & Reitzas LLP,Legal Services,Attorney/partner,No,Maybe,No,professional services without clear sourcing mandate
262,66f7d89dae47ef000164b4ce,5b835cd1324d446c505e6fea,"Bleakley Bavol Denman & Grace, Attorneys at Law",Legal Services,Partner,No,Maybe,No,non-target industry
271,66fec83a8c75540001aafdfd,55f3ae63f3e5bb1e860014de,"Acceleron Law Group, LLP",Law Practice,Partner,No,Maybe,No,professional services without clear sourcing mandate
273,60dac16074ba6900013ed40b,54a1ee1d7468695c820b6516,JDS Professional Group,Accounting,Owner,Maybe,No,No,non-target industry
274,661126aaa6b0b000072dd8b3,5500af807369642dc8390400,"Anderson, Lower, Whitlow, P.C.",Accounting,Client Service Partner,Maybe,No,No,non-target industry
276,5fccbe168084be00015d2a82,5f43ce98fba8fd00018c4420,Spartan Advisory Partners,Financial Services,Senior Managing Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
279,6706143998c8550001285397,54a11d3d69702da42560f400,Martin LLP,Law Practice,Partner,No,Maybe,No,professional services without clear sourcing mandate
282,66ffe19bcc3ad600015cc2c8,6359876d98e2ec00cc5504f0,DOPE CFO Certified Advisors,Financial Services,Franchise Owner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
285,66f56bf2df8d5f0001b8bcba,64120fa8e98aef00a331f482,CXO Partners,Professional Training & Coaching,Managing Partner,Yes,No,Yes,explicit icp terminology
294,54a5db067468693442c21aae,54a12aad69702d9313484402,"The Clarion Group, Ltd.",Management Consulting,Founding Partner,Maybe,No,No,insufficient direct icp evidence for strict yes/no
295,66f71cb2ee739400011fd025,5f919cf174160e00dab1a61b,Zoom Business Brokers,Real Estate,"Broker Of The Office, Co-founder, President",Yes,No,Yes,explicit icp terminology
298,66f404204dae22000166ecd1,5a9df2cba6da98d99778b030,US Dental Transitions,Management Consulting,CEO,Yes,Maybe,Yes,explicit icp terminology
301,65dad4b909234800013d48b7,5f10db36c5396e008ca9dc07,Orchid Black,Management Consulting,Operating Partner,Maybe,No,No,insufficient direct icp evidence for strict yes/no
302,65e9918e1a7f9d0007e93859,5e58297bd2bd680001c92a1d,Accelerate Procurement,Management Consulting,Co-founder & Chair,Maybe,No,No,insufficient direct icp evidence for strict yes/no
304,6753d167f42b9a00019d5f6e,55f72f0bf3e5bb1977023576,Azora Private Solutions,Real Estate,Managing Partner,Yes,Maybe,Yes,explicit icp terminology
305,66fafe357d2b3c0001311f3c,54a11c2769702d7fe6cd9300,"Puryear & Noonan, CPAs",Accounting,Chief Executive Officer And Member,Maybe,No,No,non-target industry
308,54a3de6e7468692fa2287819,60486475ccc54f0001cee212,Turning Point Consulting,Management Consulting,Principal Consultant / Chief Financial Officer,Yes,No,Yes,explicit icp terminology
309,54a1c2db74686942d3abd20e,5e55a6fa902f1b0001faf39f,"Arroyo Energy Partners, LLC",Oil & Energy,Managing Partner,Maybe,No,Yes,explicit icp terminology
311,66f9716c9901a20001b39b0e,618ceeaf4f4da000de6f2edf,Absolute Investment Advisers LLC,Financial Services,"Principal And Chief Operations Officer At Absolute Investment Advisers, Llc",Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
317,66fc05aaa8fa130001393a81,5d09a009f65125b2bb0e78dc,DWC - The 401(k) Experts,Financial Services,Managing Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
319,54aa61bb7468692366691b03,5da38406ba58a30001182027,Paladin,Financial Services,Managing Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
320,66fa994bbd0c94000151ec65,5569697673696425490a2200,sharevault,Information Technology & Services,"Co-founder, Chief Product Officer, Board Member",Yes,No,Yes,explicit icp terminology
323,5cd3b6cba3ae6188d9e4eef5,54a1995174686949e7ff9f00,EGP PLLC Certified Public Accountants & Consultants,Accounting,Partner,Maybe,No,No,non-target industry
325,66f2ea8cc0e01300015a0708,65cab90e3933d801c7a5551e,Lion Creek Real Estate Capital,Real Estate,Experienced Senior-level Executive (CEO/COO) With A Demonstrated History,Yes,No,Yes,explicit icp terminology
326,66f3e3b1a3e21c0001ec9a83,54a11cee69702d77c26eed00,Kiefer | Bonfanti & Co. LLP,Accounting,"Managing Partner/CEO, Emeritus",Maybe,No,No,non-target industry
329,60376812a2ef570001acc8ee,54a11c4369702d9a8bdf9a00,Lemery Greisler LLC,Law Practice,Partner,Yes,No,Yes,explicit icp terminology
333,54a5d4a8746869367687b6ab,54a19a377468695c82aeed00,Caliber Accounting Group,Accounting,"Partner - Caliber Audit & Attest, Llp",Maybe,No,No,non-target industry
334,66f4e5fe1a770c000184bb0e,6358a93deed152000175c6f2,SD Business Advisors,Management Consulting,Co-founder / Managing Broker,Yes,Maybe,Yes,explicit icp terminology
335,60dee62f3dd0f70001c54141,5da32bbdfac8740001c0c532,Integra Resources,Mining & Metals,CEO,Maybe,No,No,insufficient direct icp evidence for strict yes/no
340,66fdf203dd65840001403e89,5500b4f17369647a50ca0a00,"BCR Business Consulting Resources, Inc.",Management Consulting,Co-founder/senior Consultant,Maybe,No,No,insufficient direct icp evidence for strict yes/no
348,66f7da2aae47ef0001651927,55922fde7369640b18135200,GCA Law Partners LLP,Law Practice,Partner,No,Maybe,No,non-target industry
349,54a5251e7468693b8cdfa380,5592124f73696418654f5000,Leader Berkon Colao & Silverstein LLP,Law Practice,Partner,No,Maybe,No,non-target industry
351,57d367a2f651252bee9e7f0f,55f9ce43f3e5bb6986000690,"Verdeja & Alvarez, LLP",Accounting,Partner,Maybe,No,No,non-target industry
357,66f7613eca0e5f00018598c0,55f8ae43f3e5bb194500146d,"Acresis, LLC",Management Consulting,Founding Partner,Yes,Maybe,Yes,explicit icp terminology
359,54a2232b74686938250a2210,54a1271e69702da2201d4c00,"Fuller Lowenberg & Co., CPAs P.C.",Accounting,Partner,Maybe,No,No,non-target industry
360,54c19ecd7468697af7033b2c,60f64dae0567030001fb19f0,"Arnovia, LLC",Management Consulting,Partner,Yes,Maybe,Yes,explicit icp terminology
367,6092b14821b8ad000156e411,5a9ee43ea6da98d938bd893e,Transworld M&A Advisors,Management Consulting,"Managing Partner, Transworld M&a Advisors",Yes,Maybe,Yes,explicit icp terminology
368,66f5c52389e57b0001a99bb2,5e5592cae4651c0001bfa1a7,Galleros Robinson,Accounting,Managing Partner Nyc Office,Maybe,No,No,non-target industry
376,5dcb52d9ea29ee0001a4182d,54a23d8c74686930c266e718,"Shalik, Morris & Company, LLP",Accounting,Senior Partner,Yes,No,No,professional services without clear sourcing mandate
378,611cf6856a4811000175f3bf,54a134d169702d2db4c4c600,Macabacus Inc.,Information Technology & Services,"Executive Vice President, Chief Product Officer",Yes,No,Yes,explicit icp terminology
379,686a38b514dc810001ff9910,54a11f3969702d88c458b201,Jacko Law Group,Legal Services,Chief Executive Officer,Yes,Maybe,No,professional services without clear sourcing mandate
381,54a5341574686936761e1f85,5fca1e402a1c58000142c118,"Nations Capital, LLC",Investment Management,"Co-founder, Evp",Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
383,54a214e474686930c2e41d0b,5ed56003e4829d0001721bad,Pivot Business Group,Financial Services,Tax Strategy Partner Manager,Maybe,No,No,insufficient direct icp evidence for strict yes/no
384,6019540d11a2190001a984b5,54a1358c69702d46f0eda200,Floyd Advisory LLC,Management Consulting,Partner,Yes,Maybe,Yes,explicit icp terminology
391,66fc89ad97fbc30001b6c32b,54a1204369702d8ed40d2102,Washington CORE,Research,President & CEO,Yes,No,Yes,explicit icp terminology
393,60cb4eb95c3b96000123a54d,556dab02736964121fe07101,Ulicny Financial Communications,Financial Services,Founder And Managing Partner,Maybe,No,No,insufficient direct icp evidence for strict yes/no
398,66f451a9638ccc000156ad32,56dd7c50f3e5bb1ad90051e1,Value Driven Solutions,Management Consulting,Partner,Yes,Maybe,Yes,explicit icp terminology
399,66f458b59962ec0001033f6b,55e7a324f3e5bb1eae0000ca,Hertz Herson CPA LLP,Accounting,Partner,Maybe,No,No,non-target industry
400,66f97273d8bbea0001260bde,54a2721774686930c2028923,Across Oceans Group,Management Consulting,Founder,Yes,No,Yes,corporate buyer / corp dev language
403,570b84f3f3e5bb3a864cd033,54a1343069702d2db4006b00,Silver Ridge Advisors (SRA),Management Consulting,Managing Partner & Founder,Yes,Maybe,Yes,explicit icp terminology
404,66f670a1dbe2730001b8cbb1,54a1297469702d8cfcfed301,Firefly Consulting,Management Consulting,President,Maybe,No,No,insufficient direct icp evidence for strict yes/no
406,66fc99dba218210001e8b966,5f435ee4d7b900000127411a,Thompson Tax LLC,Management Consulting,Chief Executive Officer,Maybe,No,No,insufficient direct icp evidence for strict yes/no
410,66f68f441adccc00012db02e,556ceb1a7369641261045500,TA Group Holdings,Management Consulting,Partner,Yes,No,Yes,explicit icp terminology
414,54a1a56f74686954751f5804,54a1284869702dc12800cb00,The Branford Group,Machinery,Partner,Maybe,No,No,insufficient direct icp evidence for strict yes/no
423,60b2a2e279a2ff00013afe98,56dae422f3e5bb3121000b01,Baretz+Brunelle,Management Consulting,Partner,Yes,Maybe,Yes,explicit icp terminology
424,66f64d9911f94600014e791b,635ba662ffb94900e30688e9,"Unified Law Group, PB LLC",Legal Services,Co-founder And CEO ,No,Maybe,Yes,explicit icp terminology
425,57d38986f651252c65a9d1f1,5b84592e324d445fe4827410,"AJ Santye & Co., PA",Accounting,"Partner At A.j. Santye, P.a. And Partner At Ajs Advisors, Llc ",Maybe,No,No,non-target industry
427,66f4496012e1ee0001a1fab1,56dae858f3e5bb2ed4000947,Eastward Partners Inc.,Staffing & Recruiting,Founder & CEO,Yes,No,Yes,explicit icp terminology
432,66fa2e369901a20001f07f84,54a1d13f7468694012248813,"JTS Associates CPAs, P.C.",Accounting,Partner,Maybe,No,No,non-target industry
444,5acde790a6da98d0c21eb284,54a1d13f7468694012248813,"JTS Associates CPAs, P.C.",Accounting,Partner,Maybe,No,No,non-target industry
445,597fb85f9d7968349a3acd50,603cb86c03ff67011ce0fbb1,Braidwell,Financial Services,Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
449,54a41eb97468693676de122e,54a1ce0c7468694f8f6d7312,Fenimore Kay Harrison LLP,Legal Services,Partner,Yes,Maybe,Yes,explicit icp terminology
453,61151e525982ff000159d69e,5569b84873696425b8e38300,Preferred CFO,Financial Services,Managing Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
454,66faffbd62bbf80001d43da6,54a116d269702d3ec08d0900,Winvale,Management Consulting,CEO,Maybe,No,No,insufficient direct icp evidence for strict yes/no
455,66fcad9c75743d000192586b,5ed0ec2addd44c0001218ec7,Lex Nova Law LLC,Law Practice,Partner,No,Maybe,No,professional services without clear sourcing mandate
459,66f67799c09a28000154e3bd,5c24ea87f651254965e01909,KVLSM LLP,Accounting,Owner,Maybe,No,No,non-target industry
463,672c8f855de7150001bd83cb,5d0a359e80f93ecb63464a02,"Owen Petersen & Co., LLP",Accounting,Partner,Maybe,No,No,non-target industry
466,6051b106c52d2f0001b4c7a1,54a1279269702d90a268cf00,Gray Hunter Stenn LLP,Accounting,Partner,Maybe,No,No,non-target industry
467,66fbfd95a8fa130001366e73,54a1289c69702db878520801,"Capossela, Cohen, LLC",Accounting,Partner,Maybe,No,No,non-target industry
468,66f7ed6a688a4c00016c432f,54a11d1d69702d88c45ddc00,"Haines, Isenbarger & Skiba LLC",Accounting,Managing Partner,Maybe,No,No,non-target industry
474,66f6961f6f84a200010815d3,5a9db4d1a6da98d97e778368,Lumina Vision Partners,Hospital & Health Care,Founder & Chief Executive Officer,Maybe,No,No,insufficient direct icp evidence for strict yes/no
476,54a29a9f7468693318fa072f,54a242747468693cdd0dc41a,"Noble Royalties, Inc.",Oil & Energy,Senior Vice President Chief Financial Officer,Maybe,No,No,insufficient direct icp evidence for strict yes/no
478,63f54bbeff862000018123b4,54a12aad69702d979cd23d02,Owen-Dunn Insurance Services,Insurance,CEO,Maybe,No,No,insufficient direct icp evidence for strict yes/no
480,615635a735548f000173f965,54a12ac269702d9b8b4f4502,"Sielschott, Walsh, Keifer, Regula & Sherer CPAs, Inc.",Accounting,Partner,Maybe,No,No,non-target industry
482,6219b0c44ec8c10001bf6508,5d3415d2f65125c8778e475e,"Hoyt, Filippetti & Malaghan, LLC",Accounting,Partner,Maybe,No,No,non-target industry
483,66f1950900692a0001f02b8c,61ec51d7f04f4500013521b1,Last Mile Investments,Real Estate,CEO | Co-founder,Maybe,No,No,acquisition terms but non-target service industry
486,66fd6834100e9d0001cf89e3,5592172973696418ae276100,Kittell Branagan & Sargent,Accounting,Partner,Maybe,No,No,non-target industry
489,66f5707b2482e7000186b921,5fc9926104461600010ee0d8,CEFO Advisors,Accounting,Chief Executive Officer,Maybe,No,No,non-target industry
490,54a4d6aa7468693676553267,54a1219a69702d77c2bdff02,"Wall Titus, LLC",Accounting,Managing Partner,Maybe,No,No,non-target industry
492,6546354486171c0001d1bf8e,5da38406ba58a30001182027,Paladin,Financial Services,Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
494,66f2650166419d000113f966,54a134d169702d2db4c4c600,Macabacus Inc.,Information Technology & Services,Chief Executive Officer,Yes,No,Yes,explicit icp terminology
495,57e06459a6da981c3d9210ca,54a11f4369702da10fe2e001,"Eichenbaum, Comer & Ratynets An Accountancy Corporation",Accounting,Partner,Maybe,No,No,non-target industry
497,66fd6a83100e9d0001d04785,54a1b71d74686949e790890a,"Johnson, Mackowiak & Associates, LLP",Accounting,Cpa Partner,Maybe,No,No,non-target industry
498,63ce6cb84b7394000136d631,5da2de832c81690001c8f9b3,Triavo Health,Hospital & Health Care,Partner - Marketing And Data Analytics,Yes,No,Yes,explicit icp terminology
507,57c6e9caa6da9827e1d541b1,55e8152af3e5bb13cd000283,"Duplantier, Hrapmann, Hogan & Maher, LLP, CPAs",Accounting,Partner,Maybe,No,No,non-target industry
