Company Name,Rows,Industry_set,Website_set,Invest_counts,pair_counts,ICP_other_set,ICP_mine_set,ICP_Reason_top,Titles,Headline_sample,Keywords_sample,Desc_sample,LinkedIn_examples
"Lipschultz, Levin & Gray",4,Accounting,http://www.thethinkers.com,{'No': 4},{'Maybe->Yes': 4},Maybe,Yes,{'Accounting firm mentioning PE/FO': 4},Owner | Partner,"Partner At Lipschultz, Levin & Gray | Managing Partner At Lipschultz, Levin & Gray Llc","accounting services, tax services, consulting services, business audits, financial forecasts, cash flow management, outsourced accounting, tax preparation, multi-state tax planning, tax authority representation, tax credits, employee benefit plan audits, audit services, client relationship management, financial reporting, corporate tax planning, risk management, succession planning, investment review, mergers & acquisitions, litigation support, accounting software implementation, business entity selection, non-profit services, international tax compliance, employee benefit plans, financial tools, family office solutions, real estate accounting, manufacturing & distribution accounting, professional practices services, cost control, compliance consulting, personal financial services, financial education, payroll services, virtual cfo services, strategic planning, performance indicators, profitability enhancement, business growth solutions, custom financial reports, non-profit compliance, irs regulations, client-centered approach, peer review, financial acumen, integrity & trust, entrepreneurial spirit, financial services, management consulting, legal services","Lipschultz, Levin & Gray, LLC provides accounting, tax and consulting services to mid-size and large privately held companies. Our progressive management style focuses on communication and relationship building. LLG serves clients in manufacturing and distribution; real estate and construction; professional practice, benefit plans, family office, non-profits; service and technology and international operations. We have the expertise and resources to serve companies operating in multiple states and countries around the globe and offer clients a wide range of solutions to facilitate their growth. As a member of the Eide Bailly Alliance, our membership gives us access to the HLB network of over",http://www.linkedin.com/in/sander-berman-a915b12 | http://www.linkedin.com/in/nahrain-m-768600
Monahan Mijares CPA,2,Accounting,http://www.monahanmijares.com,{'No': 2},{'Maybe->Yes': 2},Maybe,Yes,{'Accounting firm mentioning PE/FO': 2},Partner | Managing Partner,Partner | Managing Partner At Monahan Mijares Cpa,"us taxes, bpo services, business setup, accounting services, outsourcing administrative services, family office, business structures, international taxes, local taxes, multi state taxes, sales taxes, 1099, tax compliance, business taxes, individual taxes, quickbooks, bilingual, bicultural, spanish staff, certified public accountants, international tax, tax strategy, bookkeeping, financial analysis, corporate structure, tax preparation, tax advice, pre-immigration tax planning, bilingual professionals, customized service, business consulting, real estate accounting, irs compliance, financial reporting, trust tax planning, estate planning, business certifications, local business registration, sales tax registration, foreign incorporations, tax preparers, accounting outsourcing, concierge service, personalized service, accounting technology, client relationship management, financial compliance, international accounting standards, business support solutions, tax minimization, cross-border tax consulting, tax deductions, entity structuring, management consulting, business analysis, startup consulting, private client services, government compliance, proactive tax services, cost segregation studies, financial advisory services, multi-currency accounting, operational efficiency, lean six sigma, continuous improvement, nonprofit tax services, expedited tax services, financial services, b2b, law practice, legal services","Our Mission: To Strengthen our client's affairs by providing reliable tax and business support solutions.

Our Firm:

Monahan-Mijares CPA is a third generation fast-growing Certified Public Accounting firm specialized in U.S. and International Taxation, we offer our national and multinational clients personalized services in Taxes, Accounting, Business Structures, Business Setup, Virtual Office and many other BPO services since 1980.

Monahan Mijares CPA has built its staff with the concept of personalized attention for all its clients; guided by strong professional and personal ethics which permit the firm to strengthen the business processes of its clients.

Judge Learned Hand once said: """,http://www.linkedin.com/in/christian-monahan-280a454 | http://www.linkedin.com/in/ronald-monahan-756484205
"Padgett, Stratemann & Co., L.L.P.",1,Accounting,http://www.padgett-cpa.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Accounting firm mentioning PE/FO': 1},Partner,"Partner At Padgett, Stratemann & Co., Llp","assurance, tax, business operations, consulting, human resources consulting, risk advisory services, valuation services, tax consulting, audit services, financial consulting, middle market focus, mergers & acquisitions, managed services, risk management, fraud prevention, cybersecurity, financial reporting, esg consulting, financial management, global business services, strategic technology alliances, data analytics, cloud services, family office services, investment management, consulting services, private equity, venture capital, regulatory compliance, accounting services, tax strategy, business insights, local expertise, global reach, industry expertise, client services, asset management, real estate consulting, technology solutions, supply chain management, nonprofit services, healthcare consulting, government contracting, insurance services, life sciences, retail consulting, food & beverage services, energy consulting, automotive services, construction services, consumer goods, capital markets, financial institutions, financial services, management consulting, cloud computing, enterprise software, enterprises, computer software, information technology & services, b2b, logistics & supply chain, food & beverages, consumers","Padgett Stratemann's experienced professionals provide a range of sophisticated accounting, audit, tax, and advisory and consulting services to meet your individual and business needs. We offer clients global solutions while maintaining the personal approach you have come to expect from working with a local firm. Ranked in 2015 by INSIDE Accounting Today as the nation's 99th largest CPA firm and one of the 50 Best of the Best CPA firms based upon our approach to innovation, technology, recruiting, training, and customer service.",http://www.linkedin.com/in/lester-sprouse-5215416
Plenus LLC (PKF International's Official Member Firm),1,Accounting,http://www.plenuscpas.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Accounting firm mentioning PE/FO': 1},Partner,Partner At Plenus Consulting Group,"corporate tax, business management family office, international tax, audit assurance services, tax credits incentives, individual tax, state local tax, mergers acquisitions, valuation advisory, consulting & compliance, employee benefit plan audits advisory services, partnership tax, trusts estates","Plenus is a leading public accounting and consulting firm dedicated to delivering an extraordinary level of service to our clients. As an official member of PKF International (https://www.pkf.com/), one of the world's top 15 global accounting networks, we offer the strength of an international alliance while maintaining a personalized approach tailored to each client's unique needs.",http://www.linkedin.com/in/william-sung-c-kim-cpa-aa578066
Two Miles,2,Accounting,http://www.twomiles.net,{'No': 2},{'No->Yes': 2},No,Yes,{'Accounting firm - service provider': 2},CEO | CFO/COO And Partner,CEO | CFO/COO And Partner @ Two Miles | Driving Growth And Impact,"strategic tax planning, benefit consulting, tax return preparation, tax audit representation, bookkeeping, sales tax, payroll services, virtual cfo, m&a advisory, tax preparation, financial reporting, accounting solutions, real estate accounting, financial valuation, business consulting, e-pay services, account management, quickbooks integration, client financial services, trust accounting, tax compliance, fractional cfo, business advisory, government compliance, tax strategy, financial guidance, bookkeeping software, online invoicing, expense tracking, financial leadership, strategic planning, virtual bookkeeping, cash flow management, payroll tax compliance, financial analysis, tax filing services, client resources, financial tools, tax advisory services, business valuation, diverse financial services, client support, customized bookkeeping, profit & loss analysis, document management, risk management, client trust services, financial education, remote accounting services, referral programs, customer-centric solutions, professional certifications, team collaboration tools, b2b, management consulting, financial services, information technology & services","Our name ""Two Miles"" comes from the Bible in Matthew 5:41 where Jesus says ""And if anyone forces you to go one mile, go with him two miles."" It represents our commitment to our clients. As our name states, we are committed to going the extra mile and providing quality work in a timely manner.

We are striving to provide you with service that exceeds your expectations. Our goal is to provide the best and fastest service that exceeds clients' expectations with integrity and trust. We focus on your requirements, respond quickly, and communicate sincerely.

Our Mission:
Be trusted advisors who helps clients maximize their talents and resources by providing effective financial guidance, measureme",http://www.linkedin.com/in/hiro-isogawa-2a682a42 | http://www.linkedin.com/in/robert-han-96967b4
Venning,1,Accounting,http://www.venningadvisors.com,{'No': 1},{'No->Yes': 1},No,Yes,{'Accounting firm - service provider': 1},Managing Partner,"Managing Partner | Cromwell Advisory | CEO Coaching | Financial Advisory | Private Equity M&a Advisory (blackstone, Investcorp) | Pe Portfolio Company Exec (carlyle) | Edtech | Franchising | Accounting |energy Transition","accounting, transaction services, people management, cfo services, tax, payroll, ipo, managed services, cpa services, tax compliance, tax planning, business accounting, audit services, assurance services, financial consulting, financial reporting, personal tax services, business tax services, controller services, subscription-based pricing, financial operations, portfolio management, business advisory, risk assessment, capa services, financial analysis, bookkeeping, payroll services, retirement planning, nonprofit auditing, capital raising, mergers & acquisitions, compliance audits, client transition planning, customized tax solutions, local business support, tax-efficient strategies, staff retention, financial integrity, integrated solutions, strategic planning, long-term transition planning, cost reduction, efficiency improvement, transparency in reporting, regulatory compliance, tax-efficient solutions, comprehensive tax services, quickbooks migration, wealth management, client integration, business growth support, financial transparency, audit compliance, data analysis, client portal, financial services, management consulting, b2b, investment management, data analytics","Venning Advisors is a full-service CPA and Advisory Firm that serves a broad client base whose businesses form the backbone of our local economies across the U.S., and the individuals who drive that growth. 

Our clients run factories, build real estate, create jobs and power their local world. We work as one integrated team to help our clients achieve their greatest long-term potential and most important objectives.

Our firm originally started in New England in 1978, and we currently have 10+ offices in the U.S. with clients based across the U.S. and worldwide. We work with individuals, businesses, trust/estate and investment fund clients to provide a comprehensive approach to tax and oper",http://www.linkedin.com/in/earle-w-pratt-iii-a6272210
VertexCFO,1,Accounting,http://www.vertexcfo.com,{'No': 1},{'No->Yes': 1},No,Yes,{'Accounting firm - service provider': 1},Founder & Principal,"Fractional CFO * Financial Models For Ceos, Entrepreneurs * Capital Raise And M&a Advisory * Outsourced CFO","fractional cfo, fractional controller, mergers & acquisitions, capital raise process, forecasting, cash flow analysis, monthly financials, financial projections, financial presentations, accounting support, outsourced cfo, outsourced controller, finance, accounting, m, a advisory, strategic planning, financial models, business plan development, controller services, capital raise advisory, m&a support, cash flow management, financial planning, budgeting, business growth, financial reporting, gaap compliance, cash management, financial analysis, interim cfo services, business valuation, merger consulting, sell-side advisory, buy-side advisory, transaction coordination, investment strategies, growth advisory, financial modeling, due diligence, tax compliance, management consulting, start-up financing, operational efficiency, financial forecasting, stakeholder reporting, key performance indicators, financial strategy, risk management, revenues optimization, cost analysis, investment risk assessment, corporate finance advisory, financial systems implementation, strategic financial planning, change management, team building, mentoring, market positioning, pricing strategy, financial tools development, financial services","VertexCFO provides fractional CFO and Controller expertise to middle market and well-funded start-up companies seeking to make solid financial decisions to manage, grow or sell their companies. 

Based in Denver, Colorado, VertexCFO specializes in making sense of complex financial information, providing CEOs and entrepreneurs sound data to run their businesses and present to their investors. VertexCFO supplements current accounting teams, overlaying CFO and Controller knowledge to support budgeting, forecasting, cash management, accuracy of monthly financials, projections and financial presentations to investors and stakeholders. VertexCFO delivers services to clients in a professional yet a",http://www.linkedin.com/in/brian-medley-391a5311
"FBO Partners, LLC",1,Airlines/aviation,http://www.fbopartners.com,{'No': 1},{'No->Yes': 1},No,Yes,{'Does not match ICP (airlines/aviation)': 1},Senior Partner,Senior Partner,"hangar & office sublease consulting, fbo marketing & media relations, fbo safety, mergers, acquistions, thirdparty diligence, private equity advisory, rfp, pfq response & development, safety & isbah, airport ground leases, fbo sales support, airlines & aviation, fbo consulting, aviation business advisory, m&a advisory, strategic sales, aerospace investment, property management, cloud-based solutions, hangar management, rfp response, expert witness services, aviation legal consultancy, government procurement, lease negotiation, sales strategy, market analysis, aviation market intelligence, client success management, employee development, maintenance programs, operational analysis, room occupancy tracking, financial analysis, state-of-the-industry reports, aviation regulatory compliance, real estate strategies, aviation facility upgrades, contract negotiations, business development, sales leads generation, performance metrics, customer relationship management, aviation logistics, sustainability practices, data integration, service excellence, inventory management, insurance compliance, market place integration, flight tracking, aviation operations expertise, training programs, aviation fleet management, client relationship building, commercial strategy, financial modeling, profit maximization, supply chain management, aviation risk management, consultancy services, airlines/aviation, aviation & aerospace, enterprise software, enterprises, computer software, information technology & services, b2b, crm, sales, logistics & supply chain, consulting, management consulting","Founded in 2014, FBO Partners is an aviation consultancy providing business management advisory services to Fixed Base Operations (FBOs). FBO Partners offers consultation on hangar subleasing, customer service, IS-BAH implementation and auditing, marketing, media relations, content creation, RFQ/RFP response development, mergers and acquisitions, procurement, negotiations with large fleet operators, contract FBO management and other aviation consulting services.",http://www.linkedin.com/in/tobaumgartner
Seabury Aviation Partners,1,Airlines/aviation,http://www.seaburyaviation.com,{'No': 1},{'No->Yes': 1},No,Yes,{'Does not match ICP (airlines/aviation)': 1},Managing Director And Partner,Managing Director & Partner At Seabury Aviation Partners,"airlines, investment banking, aircraft transactions, aviation finance, aviation advisory, aerospace advisory, aerospace, consulting, airline industry, equity raising, aircraft orders, aviation investments, aircraft leasing, aircraft manufacturers, airline restructuring, airlines & aviation, aviation consulting, debt restructuring, m&a advisory, liability management, fleet management, operations optimization, commercial strategy, capital structure, lease financing, bankruptcy advisory, turnaround strategies, cross-border reorganization, financial advisory services, engine evaluations, cost reduction strategies, business planning, liquidity management, cash flow optimization, market analysis, transaction advisory, aircraft negotiations, asset management, financial restructuring, strategic advisory, network optimization, revenue management, partnership strategies, performance improvement, risk management, engine lifecycle costing, pdp financing, sale leaseback transactions, portfolio management, aircraft acquisition, financing options, industry expertise, commercial optimization, restructuring engagements, aviation market dynamics, capital raising strategies, airline transformation, debt obligations management, aircraft & engine management, capital markets, financial services, airlines/aviation, aviation & aerospace, b2b","Leveraging nearly 30 years of advising on hundreds of major airline and aircraft leasing clients, Seabury Aviation Partners is the industry's leading practice delivering global restructuring and investment banking capabilities to the aviation industry and a comprehensive set of transaction and advisory services to airlines, aviation investors and manufacturers worldwide.",http://www.linkedin.com/in/laynegrindal
Quantum 9,1,Alternative Medicine,http://www.quantum9.net,{'No': 1},{'No->Yes': 1},No,Yes,{'Does not match ICP (alternative medicine)': 1},CEO,CEO Of Quantum 9 | Cannabis & Psilocybin Consulting Firm (est. 2012),"cannabis consulting, marijuana consulting, marijuana consultant, cannabis consultant, cannabis license acquisition services, cannabis marketing, cannabis investor services, license application, business planning, licensing services, marijuana business, m&a advisory, psilocybin consulting, post-licensure services, application writing, facility design, team recruitment, municipal approval, construction management, equipment selection, branding services, cannabis startups, consultant services, cannabis regulations, operational compliance, investment strategies, community engagement, cannabis jobs, market entry strategies, financial consulting, cannabis market analysis, cannabis licensing guide, government relations, social equity in cannabis, cannabis industry trends, entrepreneur support, operational procedures, cultivation strategies, processing services, dispensary planning, secure transport services, inventory management, employee training, risk assessment, legal compliance, application strategies, brand development, market research, financial planning, taxation guidance, client success stories, investment opportunities, cannabis policy advocacy, business development, license renewal assistance, start a dispensary, b2b, financial services, management consulting","Quantum 9 is a Chicago-based, cannabis consulting firm that helps entrepreneurs win licenses and start cannabis businesses. Since 2012, our consultants have helped clients become cannabis business owners in over 27 US states and 6 countries.",http://www.linkedin.com/in/michaelmayescannabisconsultant
