Company Name,rows,industry,website,title_sample,reason_top,pair_counts,invest_counts,initial_label,confidence,auto_reason,desc_sample,keywords_sample,headline_sample
Baton,3,Internet,http://www.batonmarket.com,CEO & Co-founder | Co-founder | Head Of Growth,Non-standard with investment signals (internet),{'Maybe->Yes': 3},{'No': 3},Yes,high,explicit_target_term,"Baton is a marketplace for small business sellers and buyers. 

Baton supports any small business by getting them to a successful sale on the first trusted and transparent platform in the industry. We empower owners with the right information upfront and then match them to serious buyers who see verified company data on our platform.

Managing a small business is complicated. Even though small bus","smb, smbs, small business, marketplace, internet marketplace platforms, sell a business, buy a business, business valuation, business brokerage, m&a advisors, confidential business review, financial transparency, business market analysis, buyer outreach, listing platform, data-driven insights, succe",Co-founder & CEO At Baton
Bell Investment Advisors,1,Investment Management,http://www.bellinvest.com,Chairman And Founder,Investment management - HNW/wealth,{'Maybe->No': 1},{'Yes': 1},No,high,"law_service,accounting_service,wealth_management",,"investment management, financial planning, career, life coaching, fiduciary advisors, fee-only services, social impact investing, retirement planning, wealth management, investment strategies, portfolio management, tax-efficient investing, financial goals, risk tolerance, client consulting, financia",Chairman And Founder At Bell Investment Advisors
Birch Hill Investment Advisors LLC,1,Investment Management,http://www.bhboston.com,"Principal, Chief Compliance Officer, And Chief Operating Officer",Investment management - institutional allocator,{'Maybe->No': 1},{'Yes': 1},No,high,"law_service,accounting_service,wealth_management","Birch Hill manages investments and provides wealth management services for individuals, families, trusts and institutions.  We are an independent registered investment advisor wholly owned by our principals. Our structure enables us to be flexible in providing the service clients need, to make decisions expeditiously and to be attentive to client specific objectives.  We deliver straightforward ad","wealth management, financial planning, asset management, retirement planning, college funding strategies, estate planning, charitable giving, philanthropic goals, fiscal responsibility, risk tolerance, portfolio diversification, financial advice, family legacy planning, client relationships, trustee","Principal, Chief Compliance Officer, And Chief Operating Officer"
BizCap®,2,Financial Services,http://www.bizcap.com,Managing Director Of Capital Markets And Chief Credit Officer | President,Financial firm with investment signals (financial services),{'Maybe->Yes': 2},{'No': 2},Yes,high,deal_investment_terms,"BizCap®, founded in 2002, is a national commercial finance and restructuring company with a presence in San Francisco, Dallas, Denver, Los Angeles, and Tampa. We provide debt restructuring, asset based financing and growth capital for lower and middle market commercial and industrial companies. Our firm has extensive experience recapitalizing and restructuring profitable companies, those facing hy","asset based lending, financing, debt restructuring, business turnaround, capital raising advisory, commercial finance, business capital, capital solutions, growth capital, distressed buyouts, mergers & acquisitions, turnaround advisory, credit solutions, non-dilutive financing, business refinancing,",Managing Director Of Capital Markets And Chief Credit Officer
Blue Bell Private Wealth Management,3,Investment Management,http://www.bluebellpwm.com,Partner,Investment management - HNW/wealth,{'Maybe->No': 3},{'Yes': 3},No,high,"law_service,accounting_service,wealth_management","Our firm is a fee-only investment advisory and financial planning firm located in Blue Bell, PA. With over 120 years of combined experience we are dedicated to helping clients maximize their financial goals. 

Through a team effort, we seek to build and maintain long-term relationships using constant, effective communication and impeccable service. Our goal is to improve every clients financial po","wealth management, investment management, financial planning, retirement planning, social security planning, education planning, personalized investment, social security optimization, 401(k) management, tax planning, estate planning, investment strategies, options trading, structured investments, ex",Partner At Blue Bell Private Wealth Management
Braidwell,3,Financial Services,http://www.braidwell.com,Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 3},{'No': 3},Yes,high,deal_investment_terms,Braidwell,"health transformation, flexible capital, thoughtful partnership, life sciences, capital structure, public markets, private markets, structured capital, medical leadership, scientific understanding, financial expertise, operational leadership, disease acceleration, partnership capability, investment ",Braidwell
Bridge Business & Property Brokers,3,Commercial Real Estate,http://www.bridgebrokers.com,Partner | Managing Partner,Real estate with investment signals,{'Maybe->Yes': 3},{'No': 3},Yes,high,explicit_target_term,,"business intermediaries specializing in the transfer of business ownership, business brokers, m&a advisory, business valuation, sell a business, buy a business, business listing, exclusive buyer program, confidential sale, brokerage transaction terms, seller financing, business consultancy, commerci",Partner At Bridge Business & Property Brokers
Bridgeport Partners,2,Investment Management,http://www.bgptpartners.com,Partner,Private Equity,{'Yes->No': 2},{'Yes': 2},Yes,high,"explicit_target_term,deal_investment_terms","Bridgeport Partners is a New York-based private equity firm focused on investing in financial technology and services companies across North America and Europe. 

We apply a fully integrated investment approach that combines decades of operating, domain and investment experience in financial technology and services. 

We seek to partner with founders and management teams, by bringing extraordinary","private equity, investment firm, technology companies, financial services, capital partner, strategic support, growth acceleration, financial technology, operational enhancements, industry-informed, talent acquisition, executive leadership, scalable solutions, investment professionals, founder partn",Partner
Broad Reach Investment Management LLP,1,Investment Management,http://www.broadreachllp.com,Partner,Investment management - institutional allocator,{'Maybe->No': 1},{'Yes': 1},No,high,wealth_management,"Broad Reach's experienced London-based team uses a macro framework, applying both fundamental and systematic investment processes to interest rates, credit, FX, equities, and commodities. The investment universe extends broadly across Asia, Africa, Central and Eastern Europe, Latin America, and the Middle East as well as developed markets.","alternative investments, emerging markets, macro investment strategies, quantitative investments, fixed income, equities, currencies, commodities, credit strategies, systematic strategies, portfolio management, risk management, financial advisory, regulatory compliance, diversified asset classes, gl",Partner At Broad Reach Investment Management
C-MACC,1,Market Research,http://www.c-macc.com,Chief Executive Officer,Does not match ICP (market research),{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"C-MACC is a new company with an old (and some would say, lost) mandate to consistently provide the chemical industry and sector investors with value-added analysis, advice, and consulting services. The beauty of the chemical industry lies in its complexity and ever-changing environment. C-MACC utilizes a proprietary process that melds decades of global chemical industry experience, detailed fundam","management consulting, market research, investor relations, chemicals, plastics, petrochemicals, energy, polymers, esg, sustainability, chemicals research, chemical stocks, advisory services, climate change, esg investing, renewables, oil & gas, hydrogen, lithium, recycling, ccs, consulting, researc",
CMAC Partners,2,Capital Markets,http://www.cmacpartners.com,Partner | Founder & Managing Partner,Financial firm with investment signals (capital markets),{'Maybe->Yes': 2},{'No': 2},Yes,high,deal_investment_terms,"CMAC Partners uses data, leverage, and expertise to strengthen independent medical practices through physician-owned real estate. We help groups create sustainable, low-risk, and high-yielding real estate investments. CMAC acts as a financial advocate on behalf of such groups to find and implement innovative solutions and strategies focused on partner buy-ins and buyouts, new project financing, im","healthcare real estate financing & physicianowned medical real estate, medical real estate, financing solutions, secure financing, supplemental equity, sustainable ownership, real estate investment, physician-owned real estate, portfolio management, debt & equity structuring, commercial real estate ",Partner
Channing Capital Management,2,Investment Management,http://www.channingcapital.com,"Founder | Founder, Co-CEO",Investment management - institutional allocator,{'Maybe->No': 2},{'Yes': 2},No,high,wealth_management,"Founded in 2003, Channing Capital Management is a Chicago-based investment management boutique serving institutional investors.  Since inception, we have grown our assets under management by using a consistent, singular investment approach: Intrinsic Value.  Long-term performance and tailored client service are long-standing precepts that drive everything we do.","smallcap value, allcap value, smidcap value, largecap value, intrinsic value, opportunistic investing, small-cap value, smid-cap, mutual fund, portfolio construction, long-term results, research-intensive, fundamental analysis, high-quality franchises, financial advisory, wealth management, client s",Founder
"Clarkston Capital Partners, LLC",3,Investment Management,http://www.clarkstoncapital.com,"Managing Partner | Partner | Partner, Director Of Research",Investment management - HNW/wealth,{'Maybe->No': 3},{'Yes': 3},No,high,"accounting_service,wealth_management",,"boutique investment management, equity strategies, quality value philosophy, portfolio management, asset allocation, long-term investments, financial advisory, risk assessment, due diligence, client relationships, investment performance, tax efficiency, capital allocation, concentrated portfolios, f",Managing Partner At Clarkston Capital Partners Llc
Connective,1,Information Technology & Services,http://www.connectiveconsulting.com,VP Of Client Partnerships,Information Technology & Services - not ICP,{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Connective provides world-class digital consulting and software product delivery.   

We strive to be the most trusted digital consulting and software delivery firm, known for our partnership-driven approach, exceptional results, and the strong, personal relationships we build with our clients and team members. 

We believe technology is the key to unlocking innovation in a connected world. Our te","product strategy, digital product development, software architecture, custom application development, outsourced software delivery, platform engineering, application modernization, fractional leadership, fractional cto services, development team training & coaching, m, a, exit planning & preparation",VP Of Client Partnerships
Convergent Finance LLP,1,Financial Services,http://www.convergentfinance.com,Operating Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"Convergent is an investment partnership at the forefront of bringing together Ideas, Capital and passionate Entrepreneurs. We help great companies transform into global leaders. The Convergent investment process involves identifying proprietary platform and bolt-on opportunities, speed of execution and a relentless focus on performance improvement. The Convergent value investing approach believes ","private equity, investment partnership, capital management, value creation, entrepreneur support, financial discipline, deal sourcing, mergers & acquisitions, bolt-on acquisitions, esg management, growth-oriented strategies, investment criteria, platform companies, food processing, logistics solutio",Private Equity | Fortune 500 | Food & Beverage | Cpg | Retail | General Management | Growth Strategy | M&a
Counsel Financial,1,Financial Services,http://www.counselfinancial.com,CEO,Financial firm with investment signals (financial services),{'Maybe->No': 1},{'Yes': 1},No,high,law_service,"Counsel Financial is the premier litigation finance company in the U.S., uniquely serving contingency-fee law firms and the capital providers that invest in them. Founded by attorneys in 2000, we understand the unique challenges faced by law firms operating on a contingency-fee model.

For law firms, we deliver creative capital partnerships that allow firms to transform anticipated contingent fees","contingentfee law firm financing, origination, underwriting, loan servicing for capital providers, litigation financing solutions, financing for plaintiffs law firms, technologyenabled financing solutions, risk management for litigation investments, realtime portfolio monitoring, funding for mass to",CEO At Counsel Financial Services
DealMaker,1,Financial Services,http://www.dealmaker.com.br,Managing Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"DealMaker is a strategic advisory firm specializing in Fundraising, Mergers and Acquisitions for entrepreneurs and investors in the digital economy.

By leveraging each client's unique characteristics and combining design, communication, and corporate finance, DealMaker develops and executes transactions to amplify entrepreneurs' reach in their exponential journey.","m, a, startups, capital raising, corporate finance, technology, digital economy, a advisory, fintech, corporate development, transaction success, mergers & acquisitions, buy side advisory, sell side advisory, growth strategies, impactful narratives, fundraising strategies, market assessment, capital",Managing Partner
DetailPage.com,2,Information Technology & Services,http://www.detailpage.com,Founding Partner,Information Technology & Services - not ICP,{'No->Yes': 2},{'No': 2},Yes,high,explicit_target_term,"Detailpage.com uses actual customer search behavior to power the industry's first computational retail SEO algorithm. This patent pending technology (1) drives maximum organic traffic to your product detail pages and (2) decreases paid search costs by increasing organic search relevance, thereby decreasing bid costs.","amazon, ecommerce, organic traffic, listing optimization, detail page, traffic, growth strategies, digital marketing, data analytics, ecommerce solutions, seo optimization, content marketing, ppc, conversion rate optimization, artificial intelligence, customer acquisition strategies, marketplace ana","Patented Content Seo & Geo, Market Share, And Traffic Measurement For Ecommerce2x Exit. Amazon And Walmart Alumni"
EQ Holdings,1,Computer Hardware,http://www.eqh.com,Talent Acquisition Business Partner,Private Equity,{'Yes->No': 1},{'Yes': 1},Yes,high,"explicit_target_term,deal_investment_terms","Unlike conventional private equity firms, Equus operates as a private holding company to acquire, invest in and build meaningful businesses in partnership with management over an indefinite time horizon. We understand that achieving sustainable growth takes time, careful planning and methodical execution and thus often requires a long-term perspective.","computer hardware manufacturing, investment firm, control investments, non-control investments, diversified portfolio, business transformation, digital technology, customer experience, operational excellence, employee stock ownership plan, entrepreneurial culture, sustainable growth, management buyo",Talent Acquisition Business Partner
"Encina Lender Finance, LLC",2,Financial Services,http://www.encinacapital.com,"CEO & Chief Investment Officer | Managing Director, Commercial Risk & Credit Head",Financial firm with investment signals (financial services),{'Maybe->Yes': 2},{'No': 2},Yes,high,deal_investment_terms,"In October 2020, Encina Capital Partners, LLC and an affiliate of certain funds managed by Oaktree Capital Management, L.P. together announced the launch of Encina Lender Finance, LLC (""ELF""), a new independent lender finance platform targeting consumer and commercial specialty finance companies in the U.S. and Canada.

Operating from both coasts, ELF offers delayed draw term loans and forward flo","specialty finance, private credit, lender finance, enterprise value loans, commercial finance, asset-based lending, financing solutions, middle-market companies, credit facilities, delayed draw term loans, forward flow purchase programs, capital markets, unitranche financing, risk management, portfo",CEO | CIO | Board Member | Private Credit Investment Professional | Asset-based & Specialty Finance | Fintech | Asset-backed Credit Facilities | Forward Flow Asset Purchase Programs
Engaged Capital LLC,2,Investment Management,http://www.engagedcapital.com,"Partner, Head Of Trading And Risk Management | Partner",Investment management - institutional allocator,{'Maybe->No': 2},{'Yes': 2},No,high,wealth_management,"Engaged Capital, LLC, (""Engaged Capital"") was established in 2012 by a group of professionals with significant experience in activist investing in North America and was seeded by Grosvenor Capital Management, L.P., one of the oldest and largest global alternative investment managers. Engaged Capital is a limited liability company owned by its principals and formed to create long-term shareholder v","activist investing, hedge funds, investment management, shareholder engagement, portfolio management, medium cap investments, equity funds, corporate governance, investment strategy, financial advisory, esg integration, management accountability, board representation, industry analysis, market resea","Partner, Head Of Trading And Risk Management"
Exa Capital,1,Information Technology & Services,http://www.exacapital.co,CEO & Founder,Information Technology & Services - not ICP,{'No->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"We believe entrepreneurs hold the keys to innovation and progress. As advocates of change they seek deep personal fulfillment. Acting as an agent of social good they create jobs, stimulating economic growth. And as the crazy person, they are courageous enough to give it a try!
​
At EXA, we embrace and value your entrepreneurial spirit. We acquire, build, and grow vertical market software companies","software development, investment, enterprise software, m&a, private equity, growth strategy, vertical market software, business autonomy, long-term alignment, scaling software companies, acquisition strategy, software operators, clinical performance, patient care, healthtech solutions, clinical work",CEO & Founder At Exa Capital
FBM Corporate Finance,1,Financial Services,http://www.fbm.nl,Associate Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"FBM is an independent advisory company that provides financial advisory services and capital raising solutions to clients in connection with debt and capital structures, mergers and acquisitions, restructurings and other strategic matters. FBM was founded in 1990 and operates out of two offices, located in Amsterdam and Nieuwegein. We offer a broad range of independent advisory services ranging fr","financiering, financieel management, herstructurering, fusies, overnames, restructuring, corporate recovery, capital raising, mergers, acquisitions, financial management, corporate finance, commercieel vastgoed, bedrijf kopen, bedrijf verkopen, bedrijfswaarderingen, business acquisition, business sa",Associate Partner Bij Fbm Corporate Finance
"FBO Partners, LLC",1,Airlines/aviation,http://www.fbopartners.com,Senior Partner,Does not match ICP (airlines/aviation),{'No->Yes': 1},{'No': 1},Yes,high,"explicit_target_term,deal_investment_terms","Founded in 2014, FBO Partners is an aviation consultancy providing business management advisory services to Fixed Base Operations (FBOs). FBO Partners offers consultation on hangar subleasing, customer service, IS-BAH implementation and auditing, marketing, media relations, content creation, RFQ/RFP response development, mergers and acquisitions, procurement, negotiations with large fleet operator","hangar & office sublease consulting, fbo marketing & media relations, fbo safety, mergers, acquistions, thirdparty diligence, private equity advisory, rfp, pfq response & development, safety & isbah, airport ground leases, fbo sales support, airlines & aviation, fbo consulting, aviation business adv",Senior Partner
Fifth Season Investments,1,Financial Services,http://www.fifthseasoninvestments.com,President & Chief Executive Officer,Financial firm with investment signals (financial services),{'Maybe->No': 1},{'Yes': 1},No,high,"law_service,wealth_management","Fifth Season Investments is a portfolio company of certain Owl Rock BDCs, which are externally managed by indirect subsidiaries of Blue Owl Capital Inc. that are SEC-registered investment advisers. Owl Rock is a division of Blue Owl Capital (NYSE: OWL), an alternative asset manager with approximately $132.1 billion of assets under management as of September 30, 2022.","life insurance loans, loans, special loans, financial help, financial assistance, loans & financial assistance, life insurance, life settlements, investment management, portfolio management, secondary life settlements, tertiary life settlements, life insurance-backed assets, stable returns, predicta",President & Chief Executive Officer
"Fletcher Spaght, Inc.",4,Management Consulting,http://www.fletcherspaght.com,Managing Partner Emeritus | Partner & CFO | Partner,Management consulting with M&A signals,{'Maybe->Yes': 4},{'No': 4},Yes,high,"explicit_target_term,deal_investment_terms","Fletcher Spaght, Inc. (FSI) is a strategy consulting and transaction advisory firm. We help accelerate growth for healthcare and life science companies and their investors.

FSI specializes in growth strategy, business planning, investment diligence and fundraising. FSI senior leaders actively participate in engagements and are business and subject matter experts with decades of specialized health","strategy consulting, medical devices, life sciences, high technology, diagnostics, therapeutics, biotech, healthcare services, healthcare it, digital health, life science tools, biopharmaceuticals, contract research organizations, due diligence, mergers & acquisitions, fundraising, medtech, business","Managing Partner, Fletcher Spaght Ventures"
Flow Capital,1,Financial Services,http://www.flowcap.com,Business Owner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"We are here to help you grow. With loans up to $10 million, we provide the capital you need to scale fast, without compromising your vision or control.","venture debt, growth capital, startup financing, venture debt financing, saas financing, founderfriendly capital, nondilutive capital, capital for startups, growthstage financing, startup growth, saas growth, founder-friendly, flexible financing, equity dilution, revenue-based financing, business sc",Business Owner Of Capital N Flow Llc
Gatehouse,1,International Affairs,http://www.gatehouseadvisorypartners.com,Owner,Does not match ICP (international affairs),{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Gatehouse was founded to solve a frustrating flaw: despite increasingly vast troves of geopolitical data, very little is provided in a format suitable for senior decision-makers.

Our clients want to understand quickly how geopolitical developments will affect business outcomes (the ‘so what'?). They want to cut through the noise to the signal that will impact their success, with sufficient foresi","geopolitical arbitrage, geopolitical sensitivities testing, geopolitical assumptions testing, building bespoke advisory boards, supporting strategy teams, geostrategy, geopolitical risk, strategic decision-making, market intelligence, tactical support, geopolitical analysis, strategic positioning, h",Owner At Gatehouse
Grantchester Group,3,Investment Management,http://www.grantchestergroup.com,"Partner At Grantchester Group | Operating Partner, Institutional Capital | Managing Partner & CEO",Private Equity,{'Yes->No': 3},{'Yes': 3},Yes,high,deal_investment_terms,"We invest in businesses that create a better future for the world while partnering with visionary entrepreneurs to provide unique opportunities. We deliver sustainable, best-in-class returns for our investors. Learn more at grantchestergroup.com.","electric vehicles, ev, sustainable energy, green energy, private equity, ultracapacitor, impact investing, esg, endowments, medical devices, healthcare, investment, healthcare services, energy infrastructure, growth capital, electrification, sustainable investing, portfolio companies, operational ex",Partner At Grantchester Group
Great Oak Funding,1,Financial Services,http://www.greatoakfunding.com,Chief Executive Officer,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"Great Oak Funding is a private lender focused on providing funding to help businesses grow and expand.  Great Oak Funding provides capital through mezzanine financing to existing companies with a track record of revenue.  Great Oak Funding's management team has a history of working with distressed companies to provide guidance and capital to move companies back to success.

The goal of Great Oak F","private lending, mezzanine financing, nontraditional security terms, secure loan purchase, sale leasebacks, corporate finance, restructuring, turnaround, credit risk, commercial lending, bridge lender, financing options, equipment financing, real estate financing, short-term loans, private funding, ",Chief Executive Officer
"Great Rock Capital Partners, LLC",1,Financial Services,http://www.greatrockcapital.com,Vice President Finance,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"Great Rock Capital Partners:  Fast, Flexible, and Creative Liquidity-Driven Solutions for Middle Market Companies.

Great Rock Capital is an asset-focused lender that supports middle market companies by providing maximum liquidity and growth capital.  We have the experience, expertise, and capital to structure and quickly execute unique financial solutions that maximize liquidity in most industrie","asset based loans, abl, asset focused, restructuring, mergers & acquisitions, liquidity, growth capital, term loans, working capital, asset-focused lending, commercial finance, financing solutions, liquidity solutions, acquisition financing, refinancing, recapitalizations, bank replacement, structur",Vice President Finance
Hall Jacobs,1,Capital Markets,http://www.hj2day.com,Business Owner,Financial firm with investment signals (capital markets),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"Hall Jacobs is a Commercial Real Estate Capital Markets Placement Firm. We Place Senior, Mezzanine, LP, GP and JV Capital.","deal analysis, deal structuring, deal negotiation, capital placement, senior debt, mezzanine financing, equity funding, mixed-use development, real estate financing, programmatic funding, sponsorship relationships, institutional capital sources, development capital, new construction funding, value-a",Business Owner
"High Probability Advisors, LLC",2,Investment Management,http://www.highprobabilityadvisors.com,Vice President Of Client Services & Senior Financial Advisor | CEO,Investment management - institutional allocator,{'Maybe->No': 2},{'Yes': 2},No,high,"accounting_service,wealth_management","High Probability Advisors provides investment solutions to a wide variety of clients who need effective, efficient stewardship of their long-term assets. Our typical clients are high net worth individuals, multi-generational families, not-for-profit endowments/foundations, businesses and retirement plans. 

We employ proven strategies embracing the tenets of academic research in finance and behavi","financial planning, portfolio management, risk management, high net worth, retirement plans, fiduciary responsibility, factor-based investing, tax-efficient strategies, goal-based allocation, institutional advisory, behavioral finance, asset allocation, performance reporting, financial advisory, pri",Vice President Of Client Services & Senior Financial Advisor
Horrell Company,1,Real Estate,http://www.horrellcompany.com,President & CEO,Real estate with investment signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Horrell Company's expertise includes real estate brokerage services in leasing and sales, landlord and tenant representation, property management, development consulting, and acquisitions for commercial and investment properties in Nashville and throughout the Middle Tennessee market.

If you are looking for a property in the Nashville area, do not hesitate to call or come into the office to chat ","commercial real estate, brokerage services, including leasing & sales, property management, commercial real estate consulting & development, buyer, seller, tenant, landlord representation, leasing, tenant representation, development consulting, acquisitions, investment properties, real estate sales,",President & CEO
